onset	duration	sample	trial_type	response_time	stim_file	value
2477.3240000000	n/a	n/a	Test Stim: BC	n/a	n/a	S 23
2478.6000000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
2479.6580000000	n/a	n/a	Test Stim: DA	n/a	n/a	S 41
2480.5920000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
2481.6600000000	n/a	n/a	Test Stim: BA	n/a	n/a	S 21
2482.3920000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
2483.4620000000	n/a	n/a	Test Stim: CB	n/a	n/a	S 32
2484.5160000000	n/a	n/a	Test Resp: left,incorrect	n/a	n/a	S  3
2485.5800000000	n/a	n/a	Test Stim: BC	n/a	n/a	S 23
2486.6760000000	n/a	n/a	Test Resp: right,incorrect	n/a	n/a	S  4
2487.7320000000	n/a	n/a	Test Stim: CA	n/a	n/a	S 31
2488.9360000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
2490.0000000000	n/a	n/a	Test Stim: DA	n/a	n/a	S 41
2490.9120000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
2491.9680000000	n/a	n/a	Test Stim: CD	n/a	n/a	S 34
2493.3760000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
2494.4360000000	n/a	n/a	Test Stim: DB	n/a	n/a	S 42
2495.8560000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
2496.9220000000	n/a	n/a	Test Stim: AB	n/a	n/a	S 12
2497.9160000000	n/a	n/a	Test Resp: right,incorrect	n/a	n/a	S  4
2498.9740000000	n/a	n/a	Test Stim: DC	n/a	n/a	S 43
2500.2480000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
2501.3080000000	n/a	n/a	Test Stim: CD	n/a	n/a	S 34
2502.6840000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
2503.7440000000	n/a	n/a	Test Stim: BD	n/a	n/a	S 24
2505.2420000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
2506.3120000000	n/a	n/a	Test Stim: AC	n/a	n/a	S 13
2507.1740000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
2508.2300000000	n/a	n/a	Test Stim: DB	n/a	n/a	S 42
2509.2500000000	n/a	n/a	Test Resp: left,incorrect	n/a	n/a	S  3
2510.3160000000	n/a	n/a	Test Stim: AB	n/a	n/a	S 12
2511.0380000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
2512.1000000000	n/a	n/a	Test Stim: DC	n/a	n/a	S 43
2512.9700000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
2514.0340000000	n/a	n/a	Test Stim: AB	n/a	n/a	S 12
2515.0060000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
