onset	duration	sample	trial_type	response_time	stim_file	value
1414.0540000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
1414.5740000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1414.6380000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1416.7220000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
1417.5220000000	n/a	n/a	Trn No Response	n/a	n/a	S105
1419.6240000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
1420.1340000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1420.2080000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1422.2940000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
1422.8780000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1422.9440000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1425.0280000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
1425.6420000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1425.7120000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1427.7980000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
1428.2500000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1428.3140000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1430.4000000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
1431.0020000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1431.0660000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1433.1520000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
1433.7740000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1433.8360000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1435.9200000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
1436.5260000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1436.5880000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1438.6720000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
1439.4020000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1439.4740000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1441.5580000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
1442.2020000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1442.2760000000	n/a	n/a	FB: +1	n/a	n/a	S  8
